VendorID,VendorName,PhoneNumber,EmailAddress,Country
1544,Circuit Cycles,526-555-0100,donals0@adventure-works.com,Canada
1546,Green Lake Bike Company,269-555-0100,toby0@adventure-works.com,Canada
1548,Consumer Cycles,460-555-0100,laura2@adventure-works.com,United States
1550,Merit Bikes,330-555-0100,fred1@adventure-works.com,American Samoa
1552,Sports House,761-555-0100,michael19@adventure-works.com,Canada
1552,Sports House,55-2555-0100,cathan0@adventure-works.com,Canada
1554,WestAmerica Bicycle Co.,360-555-0100,tim1@adventure-works.com,Canada
1556,West Junction Cycles,173-555-0100,tina0@adventure-works.com,Canada
1558,Marsh,139-555-0100,robert11@adventure-works.com,Canada
1516,Gardner Touring Cycles,542-555-0100,michael28@adventure-works.com,Canada
1516,Gardner Touring Cycles,882-555-0100,salman0@adventure-works.com,Canada
1514,Training Systems,945-555-0100,zheng1@adventure-works.com,Canada
1512,Light Speed,114-555-0100,marie0@adventure-works.com,Canada
1510,International,432-555-0100,julia0@adventure-works.com,Canada
1508,"Compete Enterprises, Inc",516-555-0100,carla2@adventure-works.com,Canada
1508,"Compete Enterprises, Inc",387-555-0100,sheela1@adventure-works.com,Canada
1508,"Compete Enterprises, Inc",321-555-0100,jon2@adventure-works.com,Canada
1506,Greenwood Athletic Company,959-555-0100,barbara6@adventure-works.com,Canada
1504,Chicago Rent-All,879-555-0100,bobby0@adventure-works.com,United States
1502,Cycling Master,920-555-0100,hillaine0@adventure-works.com,Canada
1500,Morgan Bike Accessories,142-555-0100,alan2@adventure-works.com,Canada
1498,"Trikes, Inc.",315-555-0100,william3@adventure-works.com,United States
1496,Advanced Bicycles,762-555-0100,eugene3@adventure-works.com,Canada
1496,Advanced Bicycles,239-555-0100,james16@adventure-works.com,Canada
1496,Advanced Bicycles,859-555-0100,jonathan0@adventure-works.com,Canada
1494,Allenson Cycles,530-555-0100,michiel0@adventure-works.com,United States
1494,Allenson Cycles,298-555-0100,suchitra1@adventure-works.com,United States
1492,Australia Bike Retailer,816-555-0100,jo3@adventure-works.com,Canada
1492,Australia Bike Retailer,459-555-0100,charlene0@adventure-works.com,Canada
1492,Australia Bike Retailer,273-555-0100,paula2@adventure-works.com,Canada
1560,Capital Road Cycles,528-555-0100,nino0@adventure-works.com,Canada
1562,Norstan Bike Hut,944-555-0100,lee1@adventure-works.com,Canada
1542,Hill's Bicycle Service,845-555-0100,ian0@adventure-works.com,Canada
1542,Hill's Bicycle Service,302-555-0100,benjamin3@adventure-works.com,Canada
1542,Hill's Bicycle Service,362-555-0100,amir0@adventure-works.com,Canada
1540,Bergeron Off-Roads,889-555-0100,frank8@adventure-works.com,Canada
1540,Bergeron Off-Roads,301-555-0100,audrey0@adventure-works.com,Canada
1540,Bergeron Off-Roads,905-555-0100,jan2@adventure-works.com,Canada
1538,Vista Road Bikes,134-555-0100,alex1@adventure-works.com,United States
1536,Cruger Bike Company,206-555-0100,lenore0@adventure-works.com,Canada
1536,Cruger Bike Company,682-555-0100,mike8@adventure-works.com,Canada
1536,Cruger Bike Company,669-555-0100,lorraine1@adventure-works.com,Canada
1534,Ready Rentals,198-555-0100,mike4@adventure-works.com,Canada
1532,Knopfler Cycles,163-555-0100,greg4@adventure-works.com,Canada
1530,Comfort Road Bicycles,240-555-0100,mandar1@adventure-works.com,Canada
1528,Image Makers Bike Center,110-555-0100,greg5@adventure-works.com,Canada
1528,Image Makers Bike Center,751-555-0100,dan2@adventure-works.com,Canada
1528,Image Makers Bike Center,314-555-0100,suzanne0@adventure-works.com,Canada
1526,International Bicycles,176-555-0100,ken2@adventure-works.com,Canada
1524,Recreation Place,991-555-0100,dorothy2@adventure-works.com,United States
1522,First National Sport Co.,152-555-0100,rob3@adventure-works.com,Canada
1522,First National Sport Co.,376-555-0100,todd1@adventure-works.com,Canada
1522,First National Sport Co.,923-555-0100,billiejo0@adventure-works.com,Canada
1520,G & K Bicycle Corp.,235-555-0100,stuart2@adventure-works.com,Canada
1518,International Trek Center,439-555-0100,albert0@adventure-works.com,Canada
1564,Illinois Trek & Clothing,533-555-0100,tad0@adventure-works.com,Canada
1566,Burnett Road Warriors,810-555-0100,gloria1@adventure-works.com,Canada
1566,Burnett Road Warriors,208-555-0100,dorothy5@adventure-works.com,Canada
1566,Burnett Road Warriors,398-555-0100,arvid0@adventure-works.com,Canada
1568,"Custom Frames, Inc.",275-555-0100,fred2@adventure-works.com,United States
1568,"Custom Frames, Inc.",677-555-0100,vincent0@adventure-works.com,United States
1568,"Custom Frames, Inc.",194-555-0100,arthur0@adventure-works.com,United States
1570,First Rate Bicycles,133-555-0100,john25@adventure-works.com,Canada
1572,National Bike Association,937-555-0100,david21@adventure-works.com,Canada
1574,Jeff's Sporting Goods,288-555-0100,michiko1@adventure-works.com,Canada
1576,Superior Bicycles,472-555-0100,stu0@adventure-works.com,Canada
1578,"Vision Cycles, Inc.",939-555-0100,scott9@adventure-works.com,Canada
1580,"Litware, Inc.",529-555-0100,lori3@adventure-works.com,Canada
1582,Inner City Bikes,433-555-0100,jyothi0@adventure-works.com,United States
1584,Trey Research,597-555-0100,cristian1@adventure-works.com,United States
1586,Mitchell Sports,352-555-0100,mosha0@adventure-works.com,Canada
1588,Signature Cycles,724-555-0100,rajesh1@adventure-works.com,United States
1590,SUPERSALES INC.,843-555-0100,shyamalan0@adventure-works.com,Canada
1592,Lindell,178-555-0100,michael20@adventure-works.com,Canada
1594,Fitness Association,550-555-0100,trish0@adventure-works.com,Canada
1594,Fitness Association,550-555-0100,kelly1@adventure-works.com,Canada
1594,Fitness Association,113-555-0100,tom3@adventure-works.com,Canada
1596,A. Datum Corporation,941-555-0100,frank7@adventure-works.com,Canada
1596,A. Datum Corporation,813-555-0100,jay5@adventure-works.com,Canada
1596,A. Datum Corporation,870-555-0100,wei0@adventure-works.com,Canada
1598,Continental Pro Cycles,718-555-0100,lionel1@adventure-works.com,United States
1600,Federal Sport,614-555-0100,elizabeth3@adventure-works.com,United States
1600,Federal Sport,803-555-0100,shawn1@adventure-works.com,United States
1600,Federal Sport,549-555-0100,garrett2@adventure-works.com,United States
1602,Beaumont Bikes,943-555-0100,john26@adventure-works.com,Canada
1602,Beaumont Bikes,306-555-0100,peng1@adventure-works.com,Canada
1604,Bike Satellite Inc.,404-555-0100,jonathan1@adventure-works.com,Canada
1604,Bike Satellite Inc.,305-555-0100,eunice0@adventure-works.com,Canada
1604,Bike Satellite Inc.,143-555-0100,larry0@adventure-works.com,Canada
1606,Northwind Traders,104-555-0100,tina1@adventure-works.com,Canada
1608,Sport Playground,709-555-0100,james13@adventure-works.com,Canada
1610,Hybrid Bicycle Center,626-555-0100,glin0@adventure-works.com,Canada
1612,"Midwest Sport, Inc.",125-555-0100,sara1@adventure-works.com,Canada
1614,"Reliance Fitness, Inc.",996-555-0100,carol3@adventure-works.com,United States
1616,Aurora Bike Center,939-555-0100,patricia1@adventure-works.com,Canada
1616,Aurora Bike Center,890-555-0100,mark6@adventure-works.com,Canada
1616,Aurora Bike Center,240-555-0100,michael27@adventure-works.com,Canada
1618,Metro Sport Equipment,387-555-0100,pat3@adventure-works.com,Canada
1620,Lakewood Bicycle,823-555-0100,paulo1@adventure-works.com,Canada
1622,Speed Corporation,331-555-0100,deborah2@adventure-works.com,Canada
1624,Competition Bike Training Systems,557-555-0100,grigory0@adventure-works.com,Canada
1626,Hill Bicycle Center,135-555-0100,carole1@adventure-works.com,Canada
1628,Bicycle Specialists,433-555-0100,cheryl1@adventure-works.com,Canada
1630,Indiana Bicycle Center,153-555-0100,alma0@adventure-works.com,Canada
1632,Sport Fan Co.,665-555-0100,ethel0@adventure-works.com,Canada
1634,GMA Ski & Bike,686-555-0100,constance0@adventure-works.com,Canada
1636,Integrated Sport Products,117-555-0100,josh1@adventure-works.com,Canada
1638,Inline Accessories,120-555-0100,betty1@adventure-works.com,Canada
1640,Legend Cycles,704-555-0100,fred3@adventure-works.com,Canada
1642,Electronic Bike Co.,927-555-0100,jeff3@adventure-works.com,Canada
1642,Electronic Bike Co.,218-555-0100,gregory3@adventure-works.com,Canada
1642,Electronic Bike Co.,221-555-0100,joe2@adventure-works.com,Canada
1644,International Sport Assoc.,164-555-0100,milton1@adventure-works.com,Canada
1646,Electronic Bike Repair & Supplies,130-555-0100,sean5@adventure-works.com,Canada
1646,Electronic Bike Repair & Supplies,206-555-0100,catherine1@adventure-works.com,Canada
1646,Electronic Bike Repair & Supplies,683-555-0100,richard6@adventure-works.com,Canada
1648,Wide World Importers,207-555-0100,monica0@adventure-works.com,United States
1648,Wide World Importers,327-555-0100,steven4@adventure-works.com,United States
1648,Wide World Importers,953-555-0100,tai0@adventure-works.com,United States
1650,American Bicycles and Wheels,430-555-0100,marylou0@adventure-works.com,Canada
1650,American Bicycles and Wheels,757-555-0100,barbara8@adventure-works.com,Canada
1650,American Bicycles and Wheels,314-555-0100,robert14@adventure-works.com,Canada
1652,Victory Bikes,193-555-0100,kim4@adventure-works.com,American Samoa
1654,American Bikes,839-555-0100,susan5@adventure-works.com,Canada
1654,American Bikes,196-555-0100,michael26@adventure-works.com,Canada
1656,Mountain Works,961-555-0100,cynthia1@adventure-works.com,Canada
1658,Crowley Sport,141-555-0100,arvind1@adventure-works.com,Canada
1658,Crowley Sport,611-555-0100,judy4@adventure-works.com,Canada
1660,Magic Cycles,476-555-0100,simon1@adventure-works.com,Canada
1662,Northern Bike Travel,317-555-0100,michael21@adventure-works.com,United States
1662,Northern Bike Travel,175-555-0100,patricia3@adventure-works.com,United States
1664,Anderson's Custom Bikes,354-555-0100,suzann0@adventure-works.com,Canada
1664,Anderson's Custom Bikes,232-555-0100,steven5@adventure-works.com,Canada
1666,Leaf River Terrain,459-555-0100,michelle1@adventure-works.com,Canada
1668,Touring Equipment Center,124-555-0100,jamie0@adventure-works.com,Canada
1670,Holiday Skate & Cycle,115-555-0100,russell3@adventure-works.com,Canada
1670,Holiday Skate & Cycle,893-555-0100,gloria2@adventure-works.com,Canada
1670,Holiday Skate & Cycle,518-555-0100,gary7@adventure-works.com,Canada
1672,Expert Bike Co,340-555-0100,celine0@adventure-works.com,Canada
1674,Varsity Sport Co.,668-555-0100,randy1@adventure-works.com,Canada
1676,Team Athletic Co.,800-555-0100,enoch0@adventure-works.com,Canada
1678,"Proseware, Inc.",113-555-0100,eric8@adventure-works.com,United States
1680,Jackson Authority,574-555-0100,adam1@adventure-works.com,Canada
